text_id,post_text,sentiment_label,topic_category
TXT_00146,"""Saudi security forces opened fire on Shia protesters in the tense Qatif district of Eastern Province on Friday,  Detail",Negative,Community_Discussion
TXT_00164,"""I don't want October to go :''''( Its been sucha good month; The Vampire Diaries S4, Taylor's album, the PLL Halloween episode. WOW!""",Positive,Community_Discussion
TXT_00192,"@user If there's one thing I can guarantee Monday, it's Janet Jackson worship, which I'm always here for.""",Positive,Community_Discussion
TXT_00220,@user I was obsessed with Twilight in 7th grade I loved it so much,Positive,Community_Discussion
TXT_00224,RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMiley,Positive,Community_Discussion
TXT_00290,I truly think that Beyonce has the power to heal people bc on thurs I was deathly ill and on friday (Beyonce's bday) I woke up feeling okay,Positive,Community_Discussion
TXT_00300,Imagine how deprived we'd be without the Sunday morning shows sharing with us the wisdom of Sarah Palin and Dick Cheney. #p2 #topprog,Negative,Community_Discussion
TXT_00325,@user no live NBA game tomorrow? only postgames of Knicks/Heat and Clippers/Grizzlies? pls air the game of Knicks against Heat LIVE.,Negative,Community_Discussion
TXT_00474,What the crap\u002c NBC? The Voice does NOT belong on Thursday nights. I need my 30 Rock\u002c Parks and Red\u002c and The Office. And I want #Community!,Negative,Community_Discussion
TXT_00502,What's the requirement to work at Dunkin? Complete up to 8th grade? Reasons I hate going there. No people skills.,Negative,Feature_Feedback
TXT_00580,I\u2019m going to the Duke game on Saturday. Haha. DUKE. What\u2019a joke they are.,Negative,Community_Discussion
TXT_00609,Why is my mind doing this to me? 1st I think about Max and how he always knows when I\u2019m sad and now I think about what happens when he dies,Negative,Technical_Issues
TXT_00762,"""So, I'll be stuck in Charleston all day tomorrow . Who's fucking with me .""",Negative,Community_Discussion
TXT_00804,"""Sunday Oliseh's Super Eagles captain Ahmed Musa delivers the first goal under his regime as Team Manager, let's fly!""",Positive,Community_Discussion
TXT_00833,She said that some day soon\u002c the sun was gonna shine. And she...couldn\u2019t have been more wrong! My Valentine.,Negative,Community_Discussion
TXT_00853,Mighty Quinn: November 14: And the the winner is ... Curtis The Boxer:,Neutral,Feature_Feedback
TXT_00900,Request for ppl in media : Dont take the opinions of organisations (however religious they may be) as the voice of Muslims. They DO NOT.,Neutral,Community_Discussion
TXT_00960,"Amazon Prime day is pretty much a bust at this point. Black Friday, its up to you to save us.",Negative,Community_Discussion
TXT_01034,Thank you to all the awesome people who supported the cast tonight! Game Of Thrones is amazing! Might have a suprise game tomorrow.,Positive,Community_Discussion
TXT_01039,May have smoked a blunt with Jay-Z at the @user show last nigh trying to remember..No big deal but i want his connect shits fire !!!,Positive,Community_Discussion
TXT_01049,"""RT @user \""""@TheFakeCNN: Republicans says that the earthquake occurred on a fault line called \""""Obama's Fault\"""".\"""" C'Mon, U Know this ...""",Negative,Community_Discussion
TXT_01065,Sep 10th steelers ruin the Tom Brady parade,Negative,Feature_Feedback
TXT_01107,I have HSPA tomorrow why the fuck am I awake ?,Negative,Community_Discussion
TXT_01111,"""First Kim Kardashian tries to break the Internet and now this!The 35-year-old reality star launched her emoji app, Kimoji, on Monday and""",Positive,Technical_Issues
TXT_01123,"""They finished with 61 total wins. That was the 2nd worst record in MLB, leading to the selection of Kris Bryant in the 2013 Draft""",Negative,Community_Discussion
TXT_01169,@user So the Same Technical Point was not seen When Modi was Opening his Big Mouth in Rallies ? Ahhhh may be he seen names of his owner,Negative,Community_Discussion
TXT_01171,Tim Tebow may be availible ! Wow Jerry \u002c what the heck you waiting for !,Positive,Community_Discussion
TXT_01172,Endymion is responsible for the 6th Q-BASE update. Here\u2019s the preview of their Thunderdome anthem. Watch\u002c listen...,Neutral,Technical_Issues
TXT_01186,Finished filling out the FAFSA for this scholarship application. Hopefully it\u2019s processed before November 15\u002c \u2019cause I need it by then.,Positive,Technical_Issues
TXT_01229,"""The 2nd act released onto the FUTURE-ONE line up is the massive ORGAN DONORS! 30th November @ City Nightclub, Falkirk. #Nutcases""",Neutral,Community_Discussion
TXT_01237,"""I may not know what I'm doing with my life right now, but I do know what songs I'd choose if I had to lip sync battle Jimmy Fallon.""",Negative,Community_Discussion
TXT_01277,"""What a pitch by #bluejays David Price, striking out Texteira unscathed with #Yankees on 1st &amp; 3rd #jays #cometogether""",Positive,Community_Discussion
TXT_01288,"""De La Soul were disappointing. Lazy &amp; uninvolving performance that seemed to be made up on the spot. C'mon, guys. Entertainment, right? #FIB""",Negative,Technical_Issues
TXT_01307,The GOP's greatest crime? @user Boehner proposes Obama speech be on the same night as NFL opening night...,Negative,Community_Discussion
TXT_01351,"@user OK, then I probably watched that one too.  I remember Ric Flair.  I loved the Monday Night Wars.",Positive,Community_Discussion
TXT_01374,its been 9 months since Louis first hung out with briana in April so is there gonna be a baby soon?,Neutral,Feature_Feedback
TXT_01379,@user I really don\u2019t know why you can\u2019t wait for me to get to LAX tomorrow\u002c Chrissy. Us being the best of friends and all..rude.,Negative,Community_Discussion
TXT_01397,"""Why are people still talking about Eid, that was so last Friday""",Negative,Community_Discussion
TXT_01400,"@user @user aaron, if you take my Netflix and chill girl we are fighting tomorrow",Negative,Community_Discussion
TXT_01404,@user they all served and died under the crown.right and proper the anthem is sung.sdlp trying to make 11th include IRA men.,Negative,Community_Discussion
TXT_01409,"Mass Mayor Puts Jindal On Blast - Bobby Jindal may not make the first Republican primary debate, but he has found ...",Neutral,Community_Discussion
TXT_01425,"""More meta-textually, Ant-Man may be the worst movie in the Marvel Universe for gender roles. Of its...",Negative,Community_Discussion
TXT_01440,"""14-Aug  The day of independence,  The day of Sacrifices of Muslims, The Victory of Pakistan, I proud to be a...",Neutral,Community_Discussion
TXT_01488,Lowering the Bar may have found the first recusal motion to cite Girl Scout Cookies. Thin Mints are criminally good.,Positive,Community_Discussion
TXT_01502,"@user CHANGED HER MIND? She bailed on st Pattys, & now she def needs to come! Im thinking about leaving after work on that Friday?""",Positive,Community_Discussion
TXT_01510,Apparently Justin Beiber is in the area. I know this because I have students (plural) missing school tomorrow to see him.,Negative,Technical_Issues
TXT_01522,Four Hard Questions to Ask About Jeb Bush's Tax Plan: Jeb Bush's tax plan is coming out Wednesday. Expect the usual soaring language ...,Negative,Community_Discussion
TXT_01532,Happy 2nd Birthday to Prince George from Infant Massage. I can't believe he is two already!! Do any babies out...,Positive,Technical_Issues
TXT_01534,@user rubbish those who kill innocent are going hell simple. 2nd highest population of Jews in ME live in Iran after isreal,Negative,Community_Discussion
TXT_01543,This is aimed @ David Cameron - fight me. Meet me behind the bike sheds tomorrow @ 3pm sharp. B there or b square,Negative,Community_Discussion
TXT_01571,News on Brock Lesnar at a live event which may air on the WWE Network  Details :...,Neutral,Community_Discussion
TXT_01616,I want to go to the SMB tomorrow but worried i will oversleep :/ been sleeping through my alarm,Negative,Community_Discussion
TXT_01684,Sharknado i can watch it now: The fuck. Sharknado budget of 1m or 2m cameos up the wazoo. Watching 2nd one now...,Negative,Community_Discussion
TXT_01693,Connor McGregor will lose Saturday and that combined with the Ronda Rousey loss may send Dana White into a deep depression #aldovsmcgregor,Negative,Community_Discussion
TXT_01697,@user Tiger Woods is awful. Luckily for him his terrible golf is only going to be seen on TGC today and not CBS - where everyone can see.,Negative,Community_Discussion
